,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2
318,7.04,5.27,1.77,7.04,6.11,4.41,1.70,0.03,6.97,11.86,5.94,489.05,6.55,4.50
319,7.08,6.93,0.15,7.08,6.23,5.77,0.46,0.01,5.82,9.17,4.22,334.80,6.54,6.15
320,6.27,5.23,1.04,6.27,5.19,4.19,1.01,0.00,5.15,10.18,5.80,503.14,5.24,4.47
321,6.64,5.76,0.88,6.64,5.77,4.95,0.82,0.00,5.96,10.13,5.07,417.24,6.15,5.09
322,5.23,5.29,0.06,5.29,4.49,4.50,0.01,0.00,8.86,15.12,7.59,626.40,4.39,4.58
323,6.30,5.31,0.99,6.30,5.29,4.40,0.90,0.02,9.07,13.84,6.13,477.36,5.48,4.72
324,7.21,5.11,2.10,7.21,6.13,4.45,1.68,0.04,5.87,10.20,5.21,432.91,6.37,4.73
325,5.26,5.20,0.06,5.26,4.38,4.31,0.08,0.00,6.50,13.07,7.54,656.57,4.26,4.28
326,7.15,6.67,0.47,7.15,6.00,5.88,0.12,0.04,7.21,10.77,4.64,356.26,5.96,6.37
327,5.72,5.84,0.11,5.84,5.01,4.91,0.10,0.00,7.99,12.97,6.17,497.60,5.15,5.02
328,5.43,6.94,1.51,6.94,4.64,5.89,1.26,0.04,9.52,13.86,5.77,434.27,4.57,6.45
329,5.84,5.10,0.74,5.84,5.12,4.36,0.76,0.00,9.11,14.33,6.59,522.51,5.22,4.55
330,5.12,5.71,0.59,5.71,4.23,4.62,0.39,0.00,6.15,12.30,7.07,615.22,4.40,4.58
331,6.31,5.26,1.05,6.31,5.44,4.51,0.92,0.00,6.79,11.73,5.95,493.48,5.68,4.58
