,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
589,33.41,34.32,0.91,34.32,27.36,27.06,0.30,27.36,24.19,23.86,0.32,0.05,20.26,51.29,32.04,0.87,0.84,-21.43,-19.70
590,33.60,36.46,2.86,36.46,30.27,32.18,1.91,32.18,24.87,26.49,1.62,0.03,20.73,49.75,30.06,0.88,0.91,-22.50,-26.69
591,38.60,46.65,8.05,46.65,27.29,31.42,4.14,31.42,22.51,26.30,3.79,0.12,22.87,58.00,36.27,0.84,0.87,-18.15,-21.90
592,36.03,39.26,3.24,39.26,31.17,28.97,2.20,31.17,26.22,25.23,0.99,0.05,25.08,53.61,29.78,0.82,0.80,-23.23,-18.42
593,40.13,33.20,6.93,40.13,29.19,27.83,1.36,29.19,25.57,24.88,0.69,0.07,23.25,53.67,31.58,0.84,0.89,-19.93,-23.77
594,32.01,36.73,4.72,36.73,27.71,30.77,3.06,30.77,23.82,27.01,3.18,0.03,30.93,63.17,33.78,0.84,0.90,-20.74,-24.46
595,37.64,35.87,1.78,37.64,29.47,30.12,0.64,30.12,25.84,25.00,0.84,0.06,24.75,54.79,31.28,0.89,0.89,-23.19,-23.56
596,37.94,38.32,0.38,38.32,31.46,30.23,1.23,31.46,24.99,24.28,0.71,0.05,13.44,45.00,32.23,0.80,0.90,-17.87,-24.73
597,38.64,38.17,0.47,38.64,31.70,30.65,1.04,31.70,26.20,26.01,0.19,0.07,19.15,48.62,30.43,0.88,0.86,-25.20,-22.95
598,33.93,30.35,3.58,33.93,26.52,25.62,0.89,26.52,23.80,21.84,1.96,0.01,24.82,62.68,39.10,0.88,0.88,-19.22,-19.13
599,42.92,35.79,7.14,42.92,34.40,31.14,3.26,34.40,28.48,27.05,1.43,0.12,20.09,45.00,25.91,0.88,0.85,-26.59,-24.18
600,38.03,34.36,3.67,38.03,25.71,26.11,0.40,26.11,24.26,23.05,1.21,0.07,20.59,54.59,35.03,0.88,0.86,-19.94,-19.29
601,29.16,34.13,4.97,34.13,25.16,27.67,2.51,27.67,21.68,24.36,2.68,0.03,21.89,56.69,35.90,0.84,0.88,-17.50,-20.46
