,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
62,30.21,34.25,4.04,34.25,23.89,29.08,5.19,29.08,22.24,25.74,3.50,0.03,56.72,90.00,36.12,25.13,29.48
63,35.67,32.59,3.08,35.67,25.49,26.10,0.61,26.10,23.49,23.34,0.15,0.05,59.73,90.00,33.26,26.37,26.86
64,31.62,28.49,3.12,31.62,22.75,15.61,7.14,22.75,21.17,15.89,5.28,0.04,47.61,90.00,44.77,21.84,15.31
65,30.46,33.97,3.51,33.97,21.52,22.93,1.41,22.93,20.47,21.24,0.77,0.05,52.79,90.00,39.85,21.88,22.76
66,32.45,33.33,0.88,33.33,28.13,27.06,1.07,28.13,25.21,24.93,0.27,0.07,62.15,90.00,30.96,28.88,27.73
67,36.43,34.84,1.59,36.43,29.94,29.15,0.79,29.94,26.48,26.27,0.21,0.04,58.02,90.00,34.88,29.01,28.19
68,32.74,31.46,1.28,32.74,23.20,23.83,0.63,23.83,21.48,22.27,0.79,0.04,49.14,90.00,43.32,22.71,24.14
69,36.29,36.92,0.64,36.92,28.66,26.33,2.33,28.66,25.93,24.49,1.43,0.08,55.66,90.00,37.12,28.38,25.87
70,30.79,31.47,0.68,31.47,27.07,27.01,0.06,27.07,23.37,23.30,0.07,0.04,65.08,90.00,28.18,28.46,27.87
71,32.06,34.36,2.30,34.36,26.88,28.24,1.35,28.24,24.79,25.29,0.50,0.01,59.42,90.00,33.55,27.55,28.39
72,44.02,41.70,2.32,44.02,25.83,25.77,0.05,25.83,25.86,25.97,0.11,0.08,60.73,90.00,32.31,26.74,26.59
73,32.12,30.39,1.73,32.12,27.93,27.27,0.65,27.93,24.19,24.12,0.07,0.04,63.76,90.00,29.43,28.64,29.12
74,32.33,31.96,0.37,32.33,25.13,27.62,2.49,27.62,23.22,24.17,0.95,0.04,59.26,90.00,33.70,25.79,27.26
75,38.54,43.88,5.34,43.88,27.32,26.47,0.85,27.32,25.35,26.03,0.68,0.08,56.52,90.00,36.30,27.01,26.51
76,36.05,35.38,0.68,36.05,25.89,25.42,0.47,25.89,24.41,23.81,0.60,0.05,54.35,90.00,38.36,25.53,25.65
77,34.67,36.76,2.08,36.76,27.42,28.50,1.09,28.50,25.11,26.31,1.20,0.05,56.89,90.00,35.96,27.25,28.35
78,31.32,29.20,2.12,31.32,27.34,26.95,0.38,27.34,25.06,23.62,1.44,0.01,57.28,90.00,35.58,27.89,27.79
79,34.29,33.31,0.98,34.29,27.88,25.47,2.41,27.88,24.87,23.48,1.40,0.04,58.21,90.00,34.70,28.34,26.36
80,29.63,29.10,0.53,29.63,25.37,24.86,0.51,25.37,22.44,22.16,0.29,0.01,62.11,90.00,31.00,26.60,25.99
81,32.39,28.40,3.99,32.39,27.68,26.60,1.07,27.68,24.60,23.20,1.41,0.01,57.69,90.00,35.20,28.06,27.01
82,37.31,33.49,3.83,37.31,25.24,27.30,2.07,27.30,23.35,23.74,0.40,0.08,55.91,90.00,36.89,24.79,28.11
83,41.78,38.55,3.23,41.78,26.96,26.62,0.33,26.96,26.35,25.59,0.76,0.10,49.46,90.00,43.01,26.57,26.53
84,32.08,32.08,0.00,32.08,27.52,24.92,2.59,27.52,24.61,23.54,1.07,0.04,56.66,90.00,36.17,27.71,25.36
85,38.01,38.04,0.02,38.04,28.77,31.52,2.75,31.52,27.20,27.56,0.36,0.06,56.24,90.00,36.57,29.06,29.72
86,36.70,36.07,0.62,36.70,23.70,25.37,1.67,25.37,23.68,23.71,0.02,0.05,53.12,90.00,39.53,24.22,25.54
87,33.61,31.21,2.40,33.61,27.01,26.33,0.68,27.01,24.13,23.10,1.03,0.05,58.02,90.00,34.88,28.03,27.52
