,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
646,33.08,32.44,0.64,33.08,26.37,26.35,0.02,26.37,22.90,23.95,1.05,0.06,61.34,89.63,31.36,26.47,27.49
647,30.50,28.15,2.35,30.50,25.79,23.98,1.81,25.79,23.66,21.76,1.90,0.03,51.37,86.34,37.55,26.25,24.64
648,29.33,38.49,9.16,38.49,23.92,26.81,2.89,26.81,22.17,25.46,3.28,0.08,47.30,78.84,33.91,25.62,27.82
649,29.07,30.52,1.45,30.52,24.42,24.67,0.25,24.67,22.85,22.44,0.42,0.00,55.67,89.31,36.42,25.55,25.23
650,29.94,35.18,5.24,35.18,25.20,26.76,1.56,26.76,22.22,25.28,3.06,0.07,43.66,74.73,33.25,26.69,27.86
651,33.86,29.62,4.24,33.86,26.45,24.80,1.65,26.45,24.44,22.56,1.88,0.05,56.41,90.00,36.41,26.81,26.12
652,38.59,31.64,6.95,38.59,27.87,25.42,2.45,27.87,26.06,22.84,3.22,0.04,55.19,90.00,37.57,28.00,25.86
653,40.15,34.05,6.10,40.15,25.00,27.96,2.95,27.96,24.95,25.32,0.37,0.07,51.52,86.14,37.19,24.30,28.08
654,33.99,32.97,1.02,33.99,24.15,28.74,4.60,28.74,23.41,25.69,2.28,0.08,46.92,76.23,31.66,25.43,29.25
655,32.92,27.97,4.95,32.92,25.99,22.62,3.37,25.99,23.60,21.02,2.57,0.04,52.77,88.75,38.62,26.05,22.57
656,35.31,34.82,0.50,35.31,26.19,27.74,1.55,27.74,24.86,24.46,0.40,0.03,55.23,88.67,36.20,26.05,27.24
657,34.51,27.90,6.61,34.51,28.00,23.17,4.83,28.00,25.24,21.19,4.05,0.03,54.69,86.28,34.32,28.86,24.51
658,29.43,33.28,3.84,33.28,26.36,26.68,0.32,26.68,23.77,25.40,1.63,0.04,43.12,73.00,32.04,27.23,27.77
659,41.75,40.68,1.07,41.75,28.22,26.85,1.37,28.22,27.69,26.00,1.69,0.13,54.65,90.00,38.08,28.58,27.15
660,30.71,34.34,3.63,34.34,27.29,26.30,0.99,27.29,24.68,24.33,0.35,0.06,61.54,90.00,31.53,28.65,27.56
661,32.13,38.75,6.63,38.75,28.13,27.95,0.18,28.13,25.47,25.92,0.46,0.06,55.29,90.00,37.47,28.44,26.76
662,31.22,33.47,2.26,33.47,26.63,29.50,2.87,29.50,24.15,25.82,1.67,0.04,51.42,78.34,29.50,27.97,30.06
663,31.90,39.24,7.34,39.24,27.27,30.88,3.61,30.88,24.58,27.56,2.98,0.06,59.92,90.00,33.08,28.26,30.79
664,31.23,32.23,1.00,32.23,26.64,27.91,1.27,27.91,23.88,25.65,1.77,0.05,53.97,84.86,33.58,27.95,28.66
665,33.51,31.88,1.63,33.51,27.68,22.21,5.47,27.68,24.72,21.82,2.90,0.06,54.82,90.00,37.92,28.64,22.98
666,27.05,31.16,4.10,31.16,25.04,26.58,1.54,26.58,22.11,23.80,1.69,0.02,62.51,90.00,30.62,26.34,27.62
667,29.15,28.67,0.48,29.15,26.49,23.16,3.33,26.49,23.28,21.30,1.98,0.03,52.68,84.73,34.68,27.60,24.36
668,32.89,33.57,0.68,33.57,25.28,25.87,0.60,25.87,24.06,24.15,0.08,0.06,52.92,87.29,37.02,26.13,26.19
