,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
919,37.56,33.69,3.87,37.56,27.19,26.93,0.26,27.19,23.64,23.62,0.02,0.07,58.13,89.54,34.32,0.84,0.86,-18.02,-20.68
920,37.34,36.57,0.77,37.34,29.57,28.46,1.10,29.57,26.10,25.60,0.50,0.09,54.06,84.63,33.28,0.86,0.89,-22.47,-23.26
921,40.94,32.14,8.80,40.94,33.39,27.93,5.46,33.39,27.32,23.30,4.03,0.07,45.31,69.10,26.06,0.87,0.81,-26.17,-20.84
922,34.81,39.01,4.20,39.01,27.79,29.48,1.69,29.48,23.93,26.31,2.38,0.07,62.27,90.00,30.85,0.83,0.86,-20.74,-23.13
923,37.96,37.78,0.17,37.96,29.38,29.66,0.28,29.66,24.68,25.79,1.11,0.05,45.63,80.04,36.69,0.86,0.86,-19.90,-21.63
924,32.99,33.15,0.16,33.15,25.99,27.77,1.78,27.77,23.94,24.73,0.80,0.04,60.72,90.00,32.31,0.89,0.89,-21.89,-22.53
925,40.36,35.60,4.76,40.36,33.13,30.22,2.91,33.13,29.07,24.75,4.31,0.05,49.41,82.12,35.19,0.87,0.79,-25.48,-17.86
926,38.48,34.45,4.03,38.48,30.37,28.35,2.02,30.37,26.86,24.50,2.36,0.07,60.95,90.00,32.10,0.92,0.85,-25.78,-20.79
927,35.10,36.68,1.58,36.68,29.64,30.21,0.57,30.21,25.03,27.35,2.32,0.01,57.80,90.00,35.09,0.83,0.91,-19.21,-26.42
928,35.79,35.13,0.66,35.79,28.03,27.22,0.81,28.03,24.51,23.46,1.04,0.06,58.59,90.00,34.34,0.87,0.89,-20.42,-21.60
929,34.35,36.07,1.72,36.07,30.29,29.47,0.82,30.29,25.79,25.41,0.38,0.04,43.26,69.75,28.65,0.85,0.85,-22.23,-23.26
930,39.09,36.45,2.65,39.09,31.83,27.10,4.73,31.83,27.25,23.09,4.16,0.04,46.85,84.35,39.84,0.88,0.83,-23.63,-17.61
931,37.97,40.82,2.86,40.82,30.29,31.05,0.76,31.05,26.62,25.85,0.77,0.05,60.09,90.00,32.91,0.86,0.84,-22.97,-20.76
932,38.99,39.47,0.49,39.47,27.33,31.50,4.16,31.50,24.88,26.27,1.39,0.05,56.88,90.00,35.96,0.85,0.85,-19.55,-22.03
933,36.98,38.49,1.51,38.49,30.42,31.60,1.18,31.60,25.57,27.26,1.69,0.07,54.01,83.09,31.78,0.86,0.88,-22.64,-24.59
934,35.01,34.97,0.04,35.01,28.34,24.88,3.46,28.34,23.95,23.44,0.51,0.05,52.84,83.33,33.13,0.86,0.89,-21.13,-20.53
935,31.34,39.52,8.18,39.52,27.45,29.27,1.82,29.27,24.34,25.54,1.20,0.05,46.49,76.31,32.14,0.92,0.85,-25.01,-20.07
936,34.87,35.92,1.04,35.92,30.05,27.87,2.18,30.05,24.81,24.81,0.00,0.10,44.31,73.30,31.20,0.88,0.85,-24.71,-20.68
937,34.59,38.84,4.25,38.84,28.64,29.55,0.91,29.55,24.18,25.55,1.37,0.07,49.57,79.49,32.41,0.83,0.88,-19.15,-23.12
938,36.46,40.05,3.59,40.05,28.76,30.57,1.81,30.57,24.25,26.60,2.36,0.13,50.29,77.24,29.47,0.85,0.89,-22.13,-24.77
939,46.90,36.63,10.27,46.90,31.22,25.21,6.02,31.22,27.54,22.52,5.02,0.10,56.02,90.00,36.78,0.88,0.85,-21.58,-17.93
940,37.90,40.92,3.02,40.92,30.79,31.89,1.10,31.89,26.25,27.56,1.31,0.10,40.40,68.91,30.52,0.85,0.87,-22.45,-24.76
941,32.65,38.39,5.73,38.39,29.05,29.19,0.15,29.19,24.81,26.03,1.22,0.06,52.72,79.07,28.99,0.89,0.88,-24.41,-22.91
942,38.14,36.09,2.06,38.14,30.78,26.43,4.35,30.78,26.40,24.75,1.65,0.05,50.53,83.13,35.12,0.82,0.86,-20.47,-20.59
943,34.29,33.94,0.36,34.29,26.40,27.61,1.21,27.61,23.27,23.79,0.53,0.06,51.70,84.21,35.10,0.90,0.88,-21.48,-20.83
944,42.26,33.48,8.78,42.26,32.82,27.39,5.43,32.82,27.30,23.13,4.17,0.13,57.48,82.28,27.67,0.85,0.83,-24.47,-20.65
