,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2
290,5.79,7.00,1.21,7.00,4.82,5.99,1.18,0.03,7.12,11.39,5.33,426.55,4.78,6.45
291,6.51,5.67,0.85,6.51,5.46,4.93,0.53,0.00,10.81,15.99,6.80,517.87,5.76,4.93
292,5.17,6.61,1.44,6.61,4.27,5.50,1.24,0.00,9.23,14.89,7.04,565.59,4.36,5.52
293,6.15,5.26,0.88,6.15,5.31,4.42,0.90,0.00,8.85,14.30,6.78,545.17,5.34,4.54
294,5.35,5.04,0.31,5.35,4.51,4.28,0.23,0.00,8.76,14.41,6.97,565.91,4.76,4.33
295,6.20,5.21,0.99,6.20,5.23,4.44,0.78,0.00,10.01,16.00,7.49,599.26,5.29,4.16
296,5.38,7.01,1.63,7.01,4.61,6.02,1.41,0.01,10.01,15.13,6.62,511.93,4.62,6.21
297,6.86,6.81,0.04,6.86,5.83,5.96,0.13,0.05,9.45,13.06,5.03,361.19,6.00,6.23
298,5.32,4.72,0.60,5.32,4.59,4.00,0.59,0.00,9.43,16.00,7.98,656.63,4.79,4.33
299,5.05,6.50,1.45,6.50,4.29,5.49,1.20,0.00,8.86,13.90,6.38,504.77,4.43,5.77
300,6.65,6.06,0.58,6.65,5.72,5.08,0.64,0.00,9.98,14.43,5.95,445.00,5.80,5.36
301,5.40,5.61,0.21,5.61,4.54,4.66,0.12,0.00,9.59,15.37,7.22,578.05,4.55,4.75
302,5.27,5.35,0.08,5.35,4.43,4.35,0.08,0.00,8.51,15.36,8.13,684.89,4.41,4.26
303,6.70,5.00,1.70,6.70,5.63,4.06,1.57,0.08,10.01,14.37,5.86,435.96,6.09,4.33
304,6.15,6.90,0.75,6.90,5.22,5.76,0.54,0.00,10.09,14.97,6.39,487.97,5.28,6.02
305,6.53,5.38,1.15,6.53,5.57,4.58,0.99,0.01,8.42,12.78,5.62,436.04,5.82,4.65
306,4.95,4.96,0.02,4.96,4.03,4.24,0.21,0.00,9.61,16.00,7.83,638.69,4.32,4.38
307,5.26,5.23,0.04,5.26,4.38,4.39,0.01,0.00,7.58,13.72,7.28,613.89,4.61,4.31
308,7.12,6.73,0.39,7.12,5.98,5.77,0.20,0.01,9.21,12.91,5.08,369.49,6.20,6.11
309,6.23,6.79,0.55,6.79,5.44,5.82,0.38,0.02,9.89,14.22,5.81,432.86,5.39,5.87
310,6.46,5.36,1.09,6.46,5.63,4.47,1.16,0.00,9.09,14.80,7.07,571.05,5.72,4.54
311,7.11,7.02,0.09,7.11,6.08,6.00,0.08,0.03,7.14,10.24,4.17,309.88,6.27,6.44
312,5.07,6.92,1.85,6.92,4.33,6.03,1.71,0.03,8.93,14.01,6.42,507.99,4.28,6.25
313,4.85,5.54,0.69,5.54,4.13,4.73,0.60,0.00,8.55,14.40,7.14,585.64,4.34,4.80
314,5.50,5.42,0.08,5.50,4.46,4.50,0.04,0.00,10.39,15.74,6.91,534.81,4.51,4.62
315,7.03,6.14,0.89,7.03,5.97,5.11,0.85,0.03,9.57,13.62,5.49,405.66,6.37,5.24
316,5.43,6.91,1.48,6.91,4.50,5.74,1.24,0.02,9.84,14.34,5.98,450.56,4.77,6.22
317,5.48,5.35,0.12,5.48,4.44,4.61,0.17,0.00,10.46,16.00,7.11,554.34,4.50,4.74
318,7.01,5.89,1.12,7.01,5.91,4.88,1.04,0.03,8.11,11.35,4.45,323.77,6.36,5.03
319,5.58,6.84,1.25,6.84,4.74,5.95,1.20,0.07,8.37,11.94,4.82,356.91,4.89,6.21
320,5.70,5.13,0.57,5.70,4.68,4.38,0.30,0.00,7.03,13.21,7.23,617.64,4.65,4.21
321,7.10,5.50,1.60,7.10,5.93,4.70,1.24,0.08,9.40,13.05,5.05,364.37,6.60,4.68
322,6.49,6.95,0.45,6.95,5.59,5.91,0.32,0.01,7.57,11.68,5.25,411.24,5.67,6.08
323,5.78,6.82,1.03,6.82,4.97,5.98,1.01,0.01,8.98,13.66,6.03,468.15,5.25,6.28
324,7.06,6.39,0.67,7.06,6.14,5.49,0.65,0.04,8.96,13.00,5.38,403.51,6.36,5.57
325,5.53,5.56,0.03,5.56,4.58,4.64,0.06,0.00,9.09,14.77,7.05,568.31,4.55,4.70
326,5.49,5.30,0.19,5.49,4.58,4.36,0.21,0.00,9.01,14.92,7.26,590.70,4.72,4.59
327,4.85,6.85,2.00,6.85,4.04,5.67,1.63,0.10,9.72,14.23,5.96,450.35,4.18,6.06
328,7.28,7.25,0.03,7.28,6.15,6.23,0.08,0.04,7.53,10.59,4.19,306.38,6.42,6.33
329,5.49,5.84,0.35,5.84,4.69,5.00,0.31,0.01,10.24,15.08,6.38,484.03,4.59,5.18
330,5.32,6.96,1.64,6.96,4.46,5.69,1.24,0.00,10.30,14.84,6.08,453.66,4.63,6.34
331,6.70,5.80,0.89,6.70,5.77,4.69,1.08,0.03,10.34,14.61,5.81,426.24,6.06,4.92
332,6.65,5.03,1.62,6.65,5.60,4.16,1.44,0.02,7.31,12.07,5.86,476.46,5.94,4.41
