hhid,Cluster,NDVILocation,Season,HerdSize,LivestockLosses,MortalityRate
2049,Lower,Sagante/Jaldesa,LRLD 2010,5.0,2.0,0.4
2049,Lower,Sagante/Jaldesa,LRLD 2011,25.0,25.0,1.0
2049,Lower,Sagante/Jaldesa,LRLD 2012,4.0,1.0,0.25
2049,Lower,Sagante/Jaldesa,SRSD 2012,7.0,5.0,0.7142857142857143
2050,Lower,Sagante/Jaldesa,LRLD 2009,,1.0,
2050,Lower,Sagante/Jaldesa,LRLD 2010,2.0,1.0,0.5
2050,Lower,Sagante/Jaldesa,SRSD 2010,3.0,3.0,1.0
2050,Lower,Sagante/Jaldesa,SRSD 2012,1.0,1.0,1.0
2051,Lower,Sagante/Jaldesa,SRSD 2009,3.0,1.0,0.3333333333333333
2051,Lower,Sagante/Jaldesa,SRSD 2011,5.0,2.0,0.4
2051,Lower,Sagante/Jaldesa,SRSD 2012,5.0,1.0,0.2
2052,Lower,Sagante/Jaldesa,LRLD 2010,2.0,1.0,0.5
2052,Lower,Sagante/Jaldesa,LRLD 2011,3.0,3.0,1.0
2052,Lower,Sagante/Jaldesa,LRLD 2012,2.0,2.0,1.0
2052,Lower,Sagante/Jaldesa,LRLD 2013,5.0,1.0,0.2
2052,Lower,Sagante/Jaldesa,LRLD 2015,2.0,2.0,1.0
2052,Lower,Sagante/Jaldesa,SRSD 2012,5.0,1.0,0.2
2052,Lower,Sagante/Jaldesa,SRSD 2014,2.0,2.0,1.0
2053,Lower,Sagante/Jaldesa,LRLD 2009,,4.0,
2053,Lower,Sagante/Jaldesa,SRSD 2014,5.0,5.0,1.0
2054,Lower,Sagante/Jaldesa,LRLD 2009,,5.0,
2054,Lower,Sagante/Jaldesa,LRLD 2011,29.0,8.0,0.27586206896551724
2054,Lower,Sagante/Jaldesa,LRLD 2013,22.0,4.0,0.18181818181818182
2054,Lower,Sagante/Jaldesa,LRLD 2015,25.0,25.0,1.0
2054,Lower,Sagante/Jaldesa,SRSD 2009,18.0,7.0,0.3888888888888889
2054,Lower,Sagante/Jaldesa,SRSD 2010,29.0,2.0,0.06896551724137931
2054,Lower,Sagante/Jaldesa,SRSD 2011,36.0,2.0,0.05555555555555555
2054,Lower,Sagante/Jaldesa,SRSD 2012,22.0,5.0,0.22727272727272727
2055,Lower,Sagante/Jaldesa,LRLD 2009,,3.0,
2055,Lower,Sagante/Jaldesa,SRSD 2010,1.0,1.0,1.0
2056,Lower,Sagante/Jaldesa,LRLD 2010,16.0,3.0,0.1875
2056,Lower,Sagante/Jaldesa,LRLD 2011,15.0,12.0,0.8
2056,Lower,Sagante/Jaldesa,SRSD 2009,16.0,4.0,0.25
2056,Lower,Sagante/Jaldesa,SRSD 2011,3.0,1.0,0.3333333333333333
2057,Lower,Sagante/Jaldesa,LRLD 2009,,7.0,
2057,Lower,Sagante/Jaldesa,LRLD 2010,5.0,1.0,0.2
2057,Lower,Sagante/Jaldesa,LRLD 2011,9.0,9.0,1.0
2057,Lower,Sagante/Jaldesa,SRSD 2011,5.0,1.0,0.2
2059,Lower,Sagante/Jaldesa,LRLD 2009,,10.0,
2059,Lower,Sagante/Jaldesa,LRLD 2011,20.0,6.0,0.3
2059,Lower,Sagante/Jaldesa,LRLD 2012,6.0,3.0,0.5
2059,Lower,Sagante/Jaldesa,SRSD 2009,15.0,4.0,0.26666666666666666
2059,Lower,Sagante/Jaldesa,SRSD 2010,20.0,9.0,0.45
2060,Lower,Sagante/Jaldesa,LRLD 2009,,6.0,
2060,Lower,Sagante/Jaldesa,LRLD 2011,4.0,4.0,1.0
2060,Lower,Sagante/Jaldesa,SRSD 2008,,3.0,
2061,Lower,Sagante/Jaldesa,LRLD 2009,,2.0,
2061,Lower,Sagante/Jaldesa,LRLD 2010,8.0,2.0,0.25
2061,Lower,Sagante/Jaldesa,LRLD 2013,6.0,1.0,0.16666666666666666
2061,Lower,Sagante/Jaldesa,SRSD 2009,8.0,4.0,0.5
2061,Lower,Sagante/Jaldesa,SRSD 2011,6.0,6.0,1.0
2062,Lower,Sagante/Jaldesa,LRLD 2010,1.0,1.0,1.0
2062,Lower,Sagante/Jaldesa,LRLD 2011,1.0,1.0,1.0
2062,Lower,Sagante/Jaldesa,LRLD 2012,2.0,2.0,1.0
2063,Lower,Sagante/Jaldesa,LRLD 2009,,4.0,
2063,Lower,Sagante/Jaldesa,LRLD 2010,4.0,2.0,0.5
2063,Lower,Sagante/Jaldesa,LRLD 2011,5.0,2.0,0.4
2063,Lower,Sagante/Jaldesa,LRLD 2015,1.0,1.0,1.0
2063,Lower,Sagante/Jaldesa,SRSD 2008,,1.0,
2063,Lower,Sagante/Jaldesa,SRSD 2012,2.0,1.0,0.5
2064,Lower,Sagante/Jaldesa,LRLD 2010,17.0,4.0,0.23529411764705882
2064,Lower,Sagante/Jaldesa,LRLD 2011,25.0,16.0,0.64
2064,Lower,Sagante/Jaldesa,SRSD 2010,25.0,4.0,0.16
2065,Lower,Sagante/Jaldesa,LRLD 2009,,6.0,
2065,Lower,Sagante/Jaldesa,LRLD 2013,9.0,1.0,0.1111111111111111
2065,Lower,Sagante/Jaldesa,SRSD 2009,1.0,1.0,1.0
