,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
284,24.81,27.01,2.20,0.09,51.71,83.50,34.38,0.85,0.90,-20.57,-24.02
285,26.71,23.55,3.16,0.06,55.91,87.64,34.53,0.89,0.83,-24.48,-18.20
286,21.00,21.89,0.89,0.05,52.34,85.53,35.80,0.85,0.87,-15.52,-19.08
287,25.97,27.52,1.55,0.13,59.42,89.54,33.09,0.89,0.90,-23.14,-24.76
288,22.95,25.73,2.78,0.06,47.81,74.36,28.95,0.85,0.91,-19.86,-25.15
289,24.80,25.39,0.59,0.04,49.35,79.22,32.33,0.90,0.90,-23.89,-23.46
290,24.83,26.66,1.83,0.03,50.55,78.67,30.65,0.87,0.90,-23.55,-24.80
291,25.69,24.53,1.16,0.04,48.44,81.53,35.51,0.87,0.88,-22.28,-21.47
292,25.16,26.47,1.30,0.11,41.93,67.84,28.01,0.89,0.86,-25.39,-23.37
293,24.25,22.66,1.59,0.04,49.24,77.36,30.58,0.88,0.89,-22.01,-22.47
294,24.60,24.37,0.22,0.05,48.44,78.24,32.22,0.85,0.90,-20.92,-23.59
295,24.00,27.01,3.01,0.03,48.02,75.39,29.77,0.88,0.91,-21.18,-25.56
296,26.07,23.48,2.59,0.04,43.22,71.91,30.85,0.90,0.87,-24.71,-21.28
297,23.78,24.95,1.18,0.03,55.72,87.94,35.00,0.87,0.93,-19.36,-26.54
298,25.03,24.47,0.56,0.07,55.00,90.00,37.75,0.88,0.87,-21.78,-20.22
299,26.01,24.01,2.00,0.07,39.98,75.45,37.46,0.89,0.88,-22.00,-21.19
300,24.59,26.09,1.50,0.06,58.26,90.00,34.65,0.88,0.90,-22.01,-23.47
301,26.62,22.48,4.14,0.05,56.03,90.00,36.77,0.90,0.84,-25.44,-17.42
302,24.27,24.22,0.06,0.03,49.95,79.73,32.28,0.88,0.90,-22.47,-22.25
303,25.69,24.27,1.43,0.07,56.75,90.00,36.09,0.84,0.88,-20.77,-21.77
304,23.13,22.32,0.80,0.03,42.28,77.64,37.48,0.87,0.84,-20.54,-17.47
305,23.30,25.84,2.54,0.06,51.87,82.28,33.00,0.85,0.88,-19.71,-22.67
306,25.87,23.06,2.80,0.04,52.85,80.40,30.19,0.89,0.92,-24.14,-23.78
