,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
320,23.26,23.26,0.00,0.04,53.36,90.00,39.30,26.77,25.84
321,24.50,23.19,1.31,0.03,56.54,90.00,36.28,27.22,26.90
322,24.12,25.61,1.50,0.05,64.13,90.00,29.08,27.90,29.07
323,18.80,22.37,3.57,0.03,52.15,90.00,40.46,20.47,25.36
324,23.67,22.86,0.81,0.04,62.94,90.00,30.21,26.62,26.36
325,22.19,26.46,4.27,0.02,58.00,90.00,34.90,25.95,29.09
326,25.41,23.58,1.83,0.09,56.41,90.00,36.41,27.32,26.58
327,23.08,23.52,0.44,0.04,55.11,90.00,37.64,25.02,25.80
328,27.12,24.58,2.55,0.05,59.45,90.00,33.53,30.45,27.84
329,23.56,23.68,0.12,0.05,61.65,90.00,31.43,26.09,27.65
330,23.99,25.35,1.36,0.04,52.62,90.00,40.01,26.65,27.19
331,23.08,24.85,1.77,0.05,59.08,90.00,33.88,25.99,27.77
332,24.50,24.32,0.18,0.06,55.28,90.00,37.48,26.05,27.30
333,20.77,23.57,2.81,0.03,51.20,90.00,41.36,23.22,25.81
334,24.90,25.14,0.24,0.09,62.25,90.00,30.86,27.68,27.82
335,23.50,20.30,3.20,0.05,58.77,90.00,34.17,28.02,23.69
336,22.09,23.41,1.32,0.05,58.01,90.00,34.89,25.33,27.42
337,24.99,23.85,1.13,0.04,59.94,90.00,33.06,28.64,27.94
338,21.07,21.44,0.37,0.03,55.62,90.00,37.16,23.85,23.87
339,25.38,26.52,1.14,0.06,58.21,90.00,34.70,27.88,28.10
340,22.97,23.36,0.39,0.04,56.11,90.00,36.69,26.36,26.94
341,22.60,23.29,0.69,0.05,57.69,90.00,35.19,26.07,25.76
342,23.69,23.22,0.46,0.04,56.05,90.00,36.76,26.34,27.20
343,24.17,22.93,1.24,0.04,52.17,90.00,40.44,26.40,24.26
344,20.67,23.21,2.53,0.07,51.84,90.00,40.75,21.00,24.08
345,24.82,23.02,1.79,0.02,58.04,90.00,34.86,27.93,26.59
346,25.69,25.54,0.16,0.08,57.33,90.00,35.54,27.57,27.76
347,24.26,22.30,1.96,0.01,53.70,90.00,38.98,27.78,25.37
348,23.62,24.35,0.73,0.09,54.17,90.00,38.54,25.90,26.22
349,25.06,20.89,4.16,0.04,56.18,90.00,36.63,28.56,22.72
350,23.16,21.80,1.35,0.02,51.05,90.00,41.51,25.66,24.62
351,25.59,21.44,4.15,0.09,55.63,90.00,37.15,27.86,21.44
352,21.30,24.90,3.60,0.05,61.03,90.00,32.02,24.14,28.93
353,23.25,23.41,0.17,0.06,59.00,90.00,33.95,26.12,26.12
354,25.85,26.24,0.39,0.06,60.15,90.00,32.86,28.58,28.78
355,23.96,25.57,1.61,0.06,58.19,90.00,34.72,26.79,28.61
356,23.68,24.41,0.73,0.07,57.11,90.00,35.75,24.92,26.68
357,21.31,23.52,2.21,0.04,57.85,90.00,35.04,23.34,26.95
358,23.78,22.96,0.82,0.12,50.18,90.00,42.33,22.96,24.47
