Zone,Tambon,Year,WeightedLoss,WeightSum,min_plant_date,max_plant_date,Loss
C1,11-2-1,2015,0.0,43200.0,2015-07-21,2015-08-20,0.0
C1,11-2-1,2016,0.0,31200.0,2016-06-16,2016-07-15,0.0
C1,11-2-1,2017,0.0,43200.0,2017-05-02,2017-06-17,0.0
C1,11-2-1,2018,0.0,6800.0,2018-05-18,2018-06-17,0.0
C1,11-2-1,2019,0.0,48000.0,2019-06-02,2019-07-01,0.0
C1,11-2-1,2020,0.0,44000.0,2020-06-01,2020-07-02,0.0
C1,11-2-1,2021,0.0,47000.0,2021-05-14,2021-05-20,0.0
C1,11-2-1,2022,0.0,33600.0,2022-05-01,2022-07-25,0.0
C1,11-2-2,2015,0.0,34400.0,2015-06-01,2015-08-23,0.0
C1,11-2-2,2016,0.0,38800.0,2016-06-30,2016-07-12,0.0
C1,11-2-2,2017,0.0,54400.0,2017-05-26,2017-06-28,0.0
C1,11-2-2,2018,0.0,192600.0,2018-05-12,2018-10-19,0.0
C1,11-2-2,2019,0.0,245000.0,2019-06-14,2019-07-09,0.0
C1,11-2-2,2020,0.0,170500.0,2020-06-11,2020-10-07,0.0
C1,11-2-2,2021,0.0,144600.0,2021-05-05,2021-07-02,0.0
C1,11-2-2,2022,0.0,204600.0,2022-05-01,2022-07-02,0.0
C1,11-2-3,2015,0.0,420000.0,2015-06-22,2015-08-23,0.0
C1,11-2-3,2016,0.0,443800.0,2016-06-16,2016-08-22,0.0
C1,11-2-3,2017,0.0,411000.0,2017-05-05,2017-06-29,0.0
C1,11-2-3,2018,0.0,593000.0,2018-05-10,2018-08-04,0.0
C1,11-2-3,2019,0.0,650200.0,2019-06-03,2019-08-06,0.0
C1,11-2-3,2020,0.0,688300.0,2020-06-08,2020-07-03,0.0
C1,11-2-3,2021,0.0,665150.0,2021-05-04,2021-07-25,0.0
C1,11-2-3,2022,0.0,372170.0,2022-05-10,2022-06-25,0.0
C1,11-2-6,2015,0.0,93200.0,2015-06-24,2015-08-21,0.0
C1,11-2-6,2016,0.0,218000.0,2016-06-14,2016-07-20,0.0
C1,11-2-6,2017,0.0,223100.0,2017-05-12,2017-08-20,0.0
C1,11-2-6,2018,0.0,229500.0,2018-05-01,2018-06-23,0.0
C1,11-2-6,2019,0.0,418100.0,2019-06-10,2019-07-26,0.0
C1,11-2-6,2020,0.0,537300.0,2020-06-01,2020-08-16,0.0
C1,11-2-6,2021,0.0,440100.0,2021-05-06,2021-07-25,0.0
C1,11-2-6,2022,0.0,375100.0,2022-05-01,2022-07-06,0.0
C1,11-2-7,2015,0.0,185600.0,2015-05-01,2015-08-17,0.0
C1,11-2-7,2016,0.0,185200.0,2016-05-15,2016-07-29,0.0
C1,11-2-7,2017,0.0,188000.0,2017-05-01,2017-10-30,0.0
C1,11-2-7,2018,0.0,192800.0,2018-05-01,2018-05-17,0.0
C1,11-2-7,2019,0.0,224000.0,2019-06-01,2019-07-20,0.0
C1,11-2-7,2020,0.0,114000.0,2020-06-01,2020-06-19,0.0
C1,11-2-7,2021,0.0,133300.0,2021-05-01,2021-07-20,0.0
C1,11-2-7,2022,0.0,124900.0,2022-05-01,2022-06-12,0.0
C1,11-2-8,2015,0.0,132300.0,2015-06-29,2015-08-31,0.0
C1,11-2-8,2016,0.0,175500.0,2016-06-25,2016-07-28,0.0
C1,11-2-8,2017,0.0,209300.0,2017-05-01,2017-06-27,0.0
C1,11-2-8,2018,0.0,171700.0,2018-05-07,2018-07-07,0.0
C1,11-2-8,2019,0.0,223000.0,2019-06-11,2019-10-06,0.0
C1,11-2-8,2020,0.0,201800.0,2020-06-10,2020-07-23,0.0
C1,11-2-8,2021,0.0,275603.0,2021-05-09,2021-10-04,0.0
C1,11-2-8,2022,0.0,313103.0,2022-05-19,2022-07-08,0.0
C1,11-6-1,2015,0.0,240600.0,2015-05-01,2015-09-10,0.0
C1,11-6-1,2016,0.0,276700.0,2016-05-01,2016-08-10,0.0
C1,11-6-1,2017,0.0,269800.0,2017-05-01,2017-10-19,0.0
C1,11-6-1,2018,0.0,265000.0,2018-05-01,2018-08-12,0.0
C1,11-6-1,2019,0.0,263200.0,2019-05-01,2019-06-25,0.0
C1,11-6-1,2020,0.0,400839.0,2020-05-01,2020-07-20,0.0
C1,11-6-1,2021,0.0,326939.0,2021-05-01,2021-06-10,0.0
C1,11-6-1,2022,0.0,105323.0,2022-05-01,2022-06-05,0.0
C1,11-6-3,2015,0.0,12000.0,2015-07-01,2015-07-01,0.0
C1,11-6-3,2018,0.0,200.0,2018-05-05,2018-05-05,0.0
C1,11-6-3,2020,0.0,10800.0,2020-06-20,2020-06-26,0.0
C1,11-6-3,2021,0.0,11000.0,2021-05-15,2021-05-22,0.0
C1,11-6-3,2022,0.0,10900.0,2022-05-20,2022-05-20,0.0
C1,12-2-9,2015,0.0,51500.0,2015-05-01,2015-07-08,0.0
C1,12-2-9,2016,0.0,134622.0,2016-05-25,2016-10-13,0.0
C1,12-2-9,2017,0.0,79200.0,2017-05-01,2017-08-01,0.0
C1,12-2-9,2018,0.0,81100.0,2018-05-01,2018-07-01,0.0
C1,12-2-9,2019,0.0,107600.0,2019-05-01,2019-10-10,0.0
C1,12-2-9,2020,0.0,40506.0,2020-05-01,2020-08-25,0.0
C1,12-2-9,2021,0.0,15800.0,2021-07-18,2021-07-18,0.0
C1,12-2-9,2022,0.0,36843.0,2022-05-08,2022-06-25,0.0
C1,12-3-1,2015,0.0,12400.0,2015-05-03,2015-08-10,0.0
C1,12-3-1,2016,0.0,65600.0,2016-05-31,2016-08-15,0.0
C1,12-3-1,2017,0.0,11500.0,2017-05-11,2017-09-01,0.0
C1,12-3-1,2018,0.0,24300.0,2018-05-01,2018-08-15,0.0
C1,12-3-1,2019,0.0,33430.0,2019-05-01,2019-07-15,0.0
C1,12-3-1,2020,0.0,40450.0,2020-05-05,2020-06-25,0.0
C1,12-3-1,2021,0.0,37885.0,2021-05-03,2021-06-28,0.0
C1,12-3-1,2022,0.0,36875.0,2022-05-07,2022-07-01,0.0
C1,12-3-2,2015,0.0,144300.0,2015-05-01,2015-07-12,0.0
C1,12-3-2,2016,0.0,308500.0,2016-05-02,2016-10-20,0.0
C1,12-3-2,2017,0.0,334100.0,2017-05-01,2017-07-01,0.0
C1,12-3-2,2018,0.0,192900.0,2018-05-01,2018-08-11,0.0
